avg_passenger_count,bkt_tip_amount,val_start,val_end
5.0,155,185.8496133920803670,188.47315928493249840
5.0,135,133.3786955350377390,136.00224142788987040
4.0,57,-71.2578841074285102,-68.63433821457637880
3.5,253,442.9571108915892442,445.58065678444137560
3.0,77,-18.7869662503858822,-16.16342035753375080
3.0,184,261.9324442847921776,264.55599017764430900
3.0,134,130.7551496421856076,133.37869553503773900
3.0,137,138.6257873207420018,141.24933321359413320
3.0,148,167.4847921421154472,170.10833803496757860
2.6666666666666665,138,141.2493332135941332,143.87287910644626460
2.5,130,120.2609660707770820,122.88451196362921340
2.5,168,219.9557099991580752,222.57925589201020660
2.5,125,107.1432366065164250,109.76678249936855640
2.1052631578947367,114,78.2842317851429796,80.90777767799511100
2.0,149,170.1083380349675786,172.73188392781971000
2.0,190,277.6737196419049660,280.29726553475709740
2.0,181,254.0618066062357834,256.68535249908791480
2.0,161,201.5908887491931554,204.21443464204528680
2.0,185,264.5559901776443090,267.17953607049644040
2.0,464,996.5252942833889696,999.14884017624110100
2.0,142,151.7435167850026588,154.36706267785479020
2.0,127,112.3903283922206878,115.01387428507281920
2.0,154,183.2260674992282356,185.84961339208036700
2.0,163,206.8379805348974182,209.46152642774954960
2.0,59,-66.0107923217242474,-63.38724642887211600
2.0,217,348.5094587489125138,351.13300464176464520
2.0,282,519.0399417843010548,521.66348767715318620
2.0,147,164.8612462492633158,167.48479214211544720
1.8695652173913044,118,88.7784153565515052,91.40196124940363660
1.855421686746988,105,54.6723187494737970,57.29586464232592840
1.8,133,128.1316037493334762,130.75514964218560760
1.7692307692307692,141,149.1199708921505274,151.74351678500265880
1.703997561190845,88,10.0720385709875632,12.69558446383969460
1.6975346284519557,90,15.3191303566918260,17.94267624954395740
1.6881112549874195,87,7.4484926781354318,10.07203857098756320
1.675504661645715,89,12.6955844638396946,15.31913035669182600
1.6712975182244527,84,-0.4221450004209624,2.20140089243116900
1.6706086697715947,86,4.8249467852833004,7.44849267813543180
1.6666666666666667,108,62.5429564280301912,65.16650232088232260
1.6661024339814068,85,2.2014008924311690,4.82494678528330040
1.6571428571428573,110,67.7900482137344540,70.41359410658658540
1.6163037194064367,91,17.9426762495439574,20.56622214239608880
1.6,119,91.4019612494036366,94.02550714225576800
1.6,152,177.9789757135239728,180.60252160637610420
1.55,113,75.6606858922908482,78.28423178514297960
1.5449707291112293,92,20.5662221423960888,23.18976803524822020
1.5346534653465347,83,-3.0456908932730938,-0.42214500042096240
1.522633744855967,103,49.4252269637695342,52.04877285662166560
1.5107142857142857,99,38.9310433923610086,41.55458928521314000
1.5,139,143.8728791064462646,146.49642499929839600
1.5,132,125.5080578564813448,128.13160374933347620
1.4980289093298291,95,28.4368598209524830,31.06040571380461440
1.494413407821229,93,23.1897680352482202,25.81331392810035160
1.4883720930232558,106,57.2958646423259284,59.91941053517805980
1.4848484848484849,96,31.0604057138046144,33.68395160665674580
1.4705882352941178,115,80.9077776779951110,83.53132357084724240
1.4666666666666666,116,83.5313235708472424,86.15486946369937380
1.4504373177842567,94,25.8133139281003516,28.43685982095248300
1.4285714285714286,117,86.1548694636993738,88.77841535655150520
1.4210526315789473,111,70.4135941065865854,73.03713999943871680
1.4193548387096775,109,65.1665023208823226,67.79004821373445400
1.4,145,159.6141544635590530,162.23770035641118440
1.4,255,448.2042026772935070,450.82774857014563840
1.3902439024390243,104,52.0487728566216656,54.67231874947379700
1.3877551020408163,122,99.2725989279600308,101.89614482081216220
1.3863636363636365,98,36.3074974995088772,38.93104339236100860
1.3678929765886287,97,33.6839516066567458,36.30749749950887720
1.3644067796610169,107,59.9194105351780598,62.54295642803019120
1.3636363636363635,126,109.7667824993685564,112.39032839222068780
1.3636363636363635,100,41.5545892852131400,44.17813517806527140
1.3381294964028776,101,44.1781351780652714,46.80168107091740280
1.3333333333333333,198,298.6620867847220172,301.28563267757414860
1.3333333333333333,120,94.0255071422557680,96.64905303510789940
1.3333333333333333,160,198.9673428563410240,201.59088874919315540
1.3333333333333333,102,46.8016810709174028,49.42522696376953420
1.3333333333333333,180,251.4382607133836520,254.06180660623578340
1.3333333333333333,121,96.6490530351078994,99.27259892796003080
1.326086956521739,112,73.0371399994387168,75.66068589229084820
1.2857142857142858,128,115.0138742850728192,117.63742017792495060
1.2222222222222223,129,117.6374201779249506,120.26096607077708200
1.2,123,101.8961448208121622,104.51969071366429360
1.1666666666666667,124,104.5196907136642936,107.14323660651642500
1.0,293,547.8989466056745002,550.52249249852663160
1.0,0,-220.8000000000000000,-218.17645410714786860
1.0,427,899.4540962478601078,902.07764214071223920
1.0,136,136.0022414278898704,138.62578732074200180
1.0,143,154.3670626778547902,156.99060857070692160
1.0,71,-34.5282416074986706,-31.90469571464653920
1.0,389,799.7593523194791146,802.38289821233124600
1.0,79,-13.5398744646816194,-10.91632857182948800
1.0,236,398.3568307131030104,400.98037660595514180
1.0,235,395.7332848202508790,398.35683071310301040
1.0,153,180.6025216063761042,183.22606749922823560
1.0,197,296.0385408918698858,298.66208678472201720
1.0,179,248.8147148205315206,251.43826071338365200
1.0,131,122.8845119636292134,125.50805785648134480
1.0,225,369.4978258917295650,372.12137178458169640
1.0,156,188.4731592849324984,191.09670517778462980
1.0,80,-10.9163285718294880,-8.29278267897735660
1.0,162,204.2144346420452868,206.83798053489741820
1.0,164,209.4615264277495496,212.08507232060168100
1.0,175,238.3205312491229950,240.94407714197512640
1.0,75,-24.0340580360901450,-21.41051214323801360
1.0,172,230.4498935705666008,233.07343946341873220
1.0,140,146.4964249992983960,149.11997089215052740
1.0,173,233.0734394634187322,235.69698535627086360
1.0,81,-8.2927826789773566,-5.66923678612522520
1.0,82,-5.6692367861252252,-3.04569089327309380
1.0,159,196.3437969634888926,198.96734285634102400
1.0,291,542.6518548199702374,545.27540071282236880
1.0,70,-37.1517875003508020,-34.52824160749867060
1.0,60,-63.3872464288721160,-60.76370053601998460
1.0,273,495.4280287486318722,498.05157464148400360
1.0,211,332.7681833917997254,335.39172928465185680
