pickup_zone,avg_total_amount,bkt_trip_distance,val_start,val_end
82,210.542,0,0E-12,2981.0954655035120
5,184.85714285714286,0,0E-12,2981.0954655035120
183,156.66000000000003,0,0E-12,2981.0954655035120
123,145.58,0,0E-12,2981.0954655035120
32,130.7575,0,0E-12,2981.0954655035120
21,115.3,0,0E-12,2981.0954655035120
14,95.55222222222223,0,0E-12,2981.0954655035120
16,94.14,0,0E-12,2981.0954655035120
124,94.125,0,0E-12,2981.0954655035120
2,93.55,0,0E-12,2981.0954655035120
107,92.55000000000001,0,0E-12,2981.0954655035120
190,91.35,0,0E-12,2981.0954655035120
258,90.3,0,0E-12,2981.0954655035120
1,82.715,0,0E-12,2981.0954655035120
149,81.88,0,0E-12,2981.0954655035120
195,79.31,0,0E-12,2981.0954655035120
78,68.40552631578947,0,0E-12,2981.0954655035120
83,67.73375,0,0E-12,2981.0954655035120
148,65.44500000000001,0,0E-12,2981.0954655035120
225,63.175,0,0E-12,2981.0954655035120
92,58.4074183976261,0,0E-12,2981.0954655035120
219,56.81080724876426,0,0E-12,2981.0954655035120
131,55.610779764332165,0,0E-12,2981.0954655035120
196,53.883919491525454,0,0E-12,2981.0954655035120
128,53.62072526606214,0,0E-12,2981.0954655035120
221,51.002357414448724,0,0E-12,2981.0954655035120
186,49.855000000000004,0,0E-12,2981.0954655035120
178,49.51468879668054,0,0E-12,2981.0954655035120
90,48.87142857142856,0,0E-12,2981.0954655035120
208,48.00085714285713,0,0E-12,2981.0954655035120
142,47.79583333333334,0,0E-12,2981.0954655035120
10,47.083333333333336,0,0E-12,2981.0954655035120
189,46.63,0,0E-12,2981.0954655035120
122,44.91227848101264,0,0E-12,2981.0954655035120
241,44.64090909090909,0,0E-12,2981.0954655035120
34,44.4861818181818,0,0E-12,2981.0954655035120
25,41.6594903339192,0,0E-12,2981.0954655035120
77,41.49142857142857,0,0E-12,2981.0954655035120
137,41.24241813000701,0,0E-12,2981.0954655035120
170,41.218,0,0E-12,2981.0954655035120
67,41.045624999999994,0,0E-12,2981.0954655035120
38,39.462500000000006,0,0E-12,2981.0954655035120
205,39.36,0,0E-12,2981.0954655035120
176,39.3,0,0E-12,2981.0954655035120
251,38.5486956521739,0,0E-12,2981.0954655035120
199,37.95969279661007,0,0E-12,2981.0954655035120
20,37.6848275862069,0,0E-12,2981.0954655035120
217,37.404999999999994,0,0E-12,2981.0954655035120
44,37.0175,0,0E-12,2981.0954655035120
4,36.41142857142857,0,0E-12,2981.0954655035120
13,35.02897058823529,0,0E-12,2981.0954655035120
115,32.63333333333333,0,0E-12,2981.0954655035120
102,31.244999999999997,0,0E-12,2981.0954655035120
50,30.953777777777773,0,0E-12,2981.0954655035120
17,30.358157894736834,0,0E-12,2981.0954655035120
69,30.340240963855408,0,0E-12,2981.0954655035120
204,30.063333333333333,0,0E-12,2981.0954655035120
179,29.922222222222224,0,0E-12,2981.0954655035120
54,29.791000000000004,0,0E-12,2981.0954655035120
156,29.415217391304346,0,0E-12,2981.0954655035120
210,29.336428571428574,0,0E-12,2981.0954655035120
169,28.8,0,0E-12,2981.0954655035120
99,28.34711538461538,0,0E-12,2981.0954655035120
248,28.3,2683,7998279.133945922696,8001260.2294114262080
70,27.63813363476561,0,0E-12,2981.0954655035120
223,27.369210526315783,0,0E-12,2981.0954655035120
57,27.19162162162162,0,0E-12,2981.0954655035120
37,27.069499999999998,0,0E-12,2981.0954655035120
109,26.931985559566805,0,0E-12,2981.0954655035120
97,26.39509803921568,0,0E-12,2981.0954655035120
12,26.172000000000004,0,0E-12,2981.0954655035120
89,26.131,0,0E-12,2981.0954655035120
58,26.040759930915435,0,0E-12,2981.0954655035120
74,25.848913649025096,0,0E-12,2981.0954655035120
174,25.73921052631579,0,0E-12,2981.0954655035120
88,25.394008810572682,0,0E-12,2981.0954655035120
150,24.98018195602721,0,0E-12,2981.0954655035120
29,24.85142857142857,0,0E-12,2981.0954655035120
177,24.801666666666666,0,0E-12,2981.0954655035120
133,24.73510162601632,0,0E-12,2981.0954655035120
184,24.550000000000004,0,0E-12,2981.0954655035120
24,24.466666666666665,0,0E-12,2981.0954655035120
246,24.424999999999997,0,0E-12,2981.0954655035120
63,24.385177304964547,0,0E-12,2981.0954655035120
91,24.246787463271303,0,0E-12,2981.0954655035120
120,24.192857142857143,0,0E-12,2981.0954655035120
28,24.055769230769233,0,0E-12,2981.0954655035120
59,23.909999999999997,0,0E-12,2981.0954655035120
103,23.624999999999986,0,0E-12,2981.0954655035120
52,22.9299193548387,0,0E-12,2981.0954655035120
31,22.910302325581437,0,0E-12,2981.0954655035120
26,22.805384615384607,0,0E-12,2981.0954655035120
125,22.741,0,0E-12,2981.0954655035120
35,22.710677966101695,0,0E-12,2981.0954655035120
66,22.636666666666667,0,0E-12,2981.0954655035120
222,22.55463414634147,0,0E-12,2981.0954655035120
230,22.485454545454548,0,0E-12,2981.0954655035120
159,22.433725490196075,0,0E-12,2981.0954655035120
244,22.332894736842107,0,0E-12,2981.0954655035120
213,22.076956521739135,0,0E-12,2981.0954655035120
9,22.002787286063604,0,0E-12,2981.0954655035120
175,21.91064102564101,0,0E-12,2981.0954655035120
256,21.75711764705881,0,0E-12,2981.0954655035120
224,21.53333333333333,0,0E-12,2981.0954655035120
234,21.427222222222216,0,0E-12,2981.0954655035120
134,21.40511450381681,0,0E-12,2981.0954655035120
7,21.07690909090909,0,0E-12,2981.0954655035120
212,20.932299465240654,0,0E-12,2981.0954655035120
84,20.891500000000004,0,0E-12,2981.0954655035120
53,20.87414826498429,0,0E-12,2981.0954655035120
198,20.84045094936707,0,0E-12,2981.0954655035120
129,20.51694444444444,0,0E-12,2981.0954655035120
228,20.286264454499573,0,0E-12,2981.0954655035120
94,20.084847982310592,0,0E-12,2981.0954655035120
197,20.075155172413837,0,0E-12,2981.0954655035120
168,20.003333333333334,0,0E-12,2981.0954655035120
85,19.944473013446466,0,0E-12,2981.0954655035120
247,19.74985074626866,0,0E-12,2981.0954655035120
95,19.540816326530614,0,0E-12,2981.0954655035120
202,19.46888888888889,0,0E-12,2981.0954655035120
238,19.349411764705877,0,0E-12,2981.0954655035120
206,19.31319379844966,0,0E-12,2981.0954655035120
71,19.31280477408354,0,0E-12,2981.0954655035120
47,19.19611111111111,0,0E-12,2981.0954655035120
86,19.106264488935604,0,0E-12,2981.0954655035120
126,18.99137146371456,0,0E-12,2981.0954655035120
-1,18.855883644420928,0,0E-12,2981.0954655035120
155,18.840620842572076,0,0E-12,2981.0954655035120
194,18.832293577981645,0,0E-12,2981.0954655035120
8,18.814052261011195,0,0E-12,2981.0954655035120
245,18.732371976935138,0,0E-12,2981.0954655035120
60,18.709999999999997,0,0E-12,2981.0954655035120
153,18.427777777777777,0,0E-12,2981.0954655035120
30,18.409124955309963,0,0E-12,2981.0954655035120
249,18.407340425531917,0,0E-12,2981.0954655035120
248,18.36,1565,4665414.403512996280,4668395.4989784997920
252,18.336000000000006,0,0E-12,2981.0954655035120
139,18.293478260869566,0,0E-12,2981.0954655035120
73,18.240317460317463,0,0E-12,2981.0954655035120
118,18.21704918032785,0,0E-12,2981.0954655035120
152,18.08434285714284,0,0E-12,2981.0954655035120
242,18.01225,0,0E-12,2981.0954655035120
64,17.939071351738818,0,0E-12,2981.0954655035120
51,17.934375529571348,0,0E-12,2981.0954655035120
181,17.928980582524257,0,0E-12,2981.0954655035120
68,17.738975705429333,0,0E-12,2981.0954655035120
191,17.734580517554143,0,0E-12,2981.0954655035120
0,17.686818181818182,0,0E-12,2981.0954655035120
132,17.521169537624743,0,0E-12,2981.0954655035120
36,17.49688853247837,0,0E-12,2981.0954655035120
216,17.415735294117628,0,0E-12,2981.0954655035120
203,17.384999999999994,0,0E-12,2981.0954655035120
146,17.34,0,0E-12,2981.0954655035120
182,17.32878787878788,0,0E-12,2981.0954655035120
255,17.215684754521966,0,0E-12,2981.0954655035120
121,17.19,0,0E-12,2981.0954655035120
201,17.051923076923117,0,0E-12,2981.0954655035120
135,16.99282051282053,0,0E-12,2981.0954655035120
158,16.918558139534866,0,0E-12,2981.0954655035120
227,16.730859987555522,0,0E-12,2981.0954655035120
22,16.489516743270105,0,0E-12,2981.0954655035120
55,16.45557131599692,0,0E-12,2981.0954655035120
143,16.449048373239428,0,0E-12,2981.0954655035120
193,16.411487820934816,0,0E-12,2981.0954655035120
79,16.387506329113716,0,0E-12,2981.0954655035120
220,16.236165587418963,0,0E-12,2981.0954655035120
19,16.184679487179476,0,0E-12,2981.0954655035120
151,16.17982269503544,0,0E-12,2981.0954655035120
61,16.146433672365195,0,0E-12,2981.0954655035120
243,16.133395638629278,0,0E-12,2981.0954655035120
76,16.117142857142863,0,0E-12,2981.0954655035120
45,16.115762691279738,0,0E-12,2981.0954655035120
144,16.044387755102065,0,0E-12,2981.0954655035120
180,15.95907894736901,0,0E-12,2981.0954655035120
237,15.924304635761587,0,0E-12,2981.0954655035120
46,15.75536423841059,0,0E-12,2981.0954655035120
192,15.724174454828692,0,0E-12,2981.0954655035120
236,15.706703480588853,0,0E-12,2981.0954655035120
33,15.70573848238481,0,0E-12,2981.0954655035120
145,15.673217901992397,0,0E-12,2981.0954655035120
161,15.622890666666592,0,0E-12,2981.0954655035120
18,15.618482142857138,0,0E-12,2981.0954655035120
113,15.601744891085023,0,0E-12,2981.0954655035120
162,15.600892857142846,0,0E-12,2981.0954655035120
112,15.562142857142858,0,0E-12,2981.0954655035120
96,15.55670263465573,0,0E-12,2981.0954655035120
119,15.527899543378995,0,0E-12,2981.0954655035120
235,15.517119828116606,0,0E-12,2981.0954655035120
253,15.487933308751835,0,0E-12,2981.0954655035120
43,15.479124830229633,0,0E-12,2981.0954655035120
188,15.430688073394537,0,0E-12,2981.0954655035120
65,15.372030203732763,0,0E-12,2981.0954655035120
105,15.320845280764443,0,0E-12,2981.0954655035120
200,15.3,0,0E-12,2981.0954655035120
130,15.169740259740253,0,0E-12,2981.0954655035120
163,15.125443037974673,0,0E-12,2981.0954655035120
141,15.087107060218763,0,0E-12,2981.0954655035120
157,15.016753363025696,0,0E-12,2981.0954655035120
6,14.989753799034224,0,0E-12,2981.0954655035120
15,14.953356687898593,0,0E-12,2981.0954655035120
49,14.90851376146766,0,0E-12,2981.0954655035120
259,14.813985572588093,0,0E-12,2981.0954655035120
229,14.809441694952444,0,0E-12,2981.0954655035120
98,14.753333333333336,0,0E-12,2981.0954655035120
165,14.698453038674026,0,0E-12,2981.0954655035120
62,14.684000000000001,0,0E-12,2981.0954655035120
93,14.677889610389613,0,0E-12,2981.0954655035120
23,14.653229813664616,0,0E-12,2981.0954655035120
147,14.570000000000002,0,0E-12,2981.0954655035120
215,14.509772611233227,0,0E-12,2981.0954655035120
172,14.461256520301898,0,0E-12,2981.0954655035120
56,14.410882352941167,0,0E-12,2981.0954655035120
75,14.216979779382614,0,0E-12,2981.0954655035120
164,14.104962596252506,0,0E-12,2981.0954655035120
154,14.021363778245897,0,0E-12,2981.0954655035120
127,13.991689757545481,0,0E-12,2981.0954655035120
117,13.9896082410945,0,0E-12,2981.0954655035120
116,13.924225707980733,0,0E-12,2981.0954655035120
248,13.908987895880383,0,0E-12,2981.0954655035120
171,13.738258512680376,0,0E-12,2981.0954655035120
257,13.656854838709672,0,0E-12,2981.0954655035120
226,13.636697115382491,0,0E-12,2981.0954655035120
160,13.614764705882344,0,0E-12,2981.0954655035120
41,13.595200313439609,0,0E-12,2981.0954655035120
114,13.585024065701148,0,0E-12,2981.0954655035120
72,13.410095960008148,0,0E-12,2981.0954655035120
106,13.396428728188285,0,0E-12,2981.0954655035120
87,13.368961119151214,0,0E-12,2981.0954655035120
136,13.098612626010526,0,0E-12,2981.0954655035120
39,12.959242383802746,0,0E-12,2981.0954655035120
240,12.866266807483601,0,0E-12,2981.0954655035120
232,12.77222222222222,0,0E-12,2981.0954655035120
81,12.716,0,0E-12,2981.0954655035120
239,12.628367990038939,0,0E-12,2981.0954655035120
48,12.314615384615385,0,0E-12,2981.0954655035120
167,7.8,0,0E-12,2981.0954655035120
207,6.8,0,0E-12,2981.0954655035120
211,6.8,0,0E-12,2981.0954655035120
41,4.3,212,631992.238686744544,634973.3341522480560
143,3.8,470,1401114.868786650640,1404095.9642521541520
143,3.3,94,280222.973757330128,283204.0692228336400
80,3.3,0,0E-12,2981.0954655035120
143,3.3,554,1651526.887888945648,1654507.9833544491600
116,3.3,818,2438536.090781872816,2441517.1862473763280
140,0.0,0,0E-12,2981.0954655035120
